duchy_name,kingdom_name_867,empire_name_867,county_count_867,barony_count_867,average_development_867,special_buildings,alternative_names,capital_county_name,duchy_id,start_date,source
Gelre,Frisia,Germania,3,9,5,,,Guelders,d_gelre,867,CK3 Wiki List of duchies
Utrecht,Frisia,Germania,3,11,7,,,Nedersticht,d_utrecht,867,CK3 Wiki List of duchies
Frisia,Frisia,Germania,3,10,5,,,Dokkum,d_frisia,867,CK3 Wiki List of duchies
Luxembourg,Lotharingia,Germania,4,15,5,,,Luxembourg,d_luxembourg,867,CK3 Wiki List of duchies
Brabant,Lotharingia,Germania,4,12,6,,,Brabant,d_brabant,867,CK3 Wiki List of duchies
Jülich,Lotharingia,Germania,3,12,5,Palace of Aachen,,Aachen,d_julich,867,CK3 Wiki List of duchies
Upper Lotharingia,Lotharingia,Germania,6,20,8,,"Upper Lorraine (French, Norman)",Trier,d_upper_lorraine,867,CK3 Wiki List of duchies
Lower Lotharingia,Lotharingia,Germania,7,21,8,Cologne Cathedral,"Lower Lorraine (French, Norman)",Cologne,d_lower_lorraine,867,CK3 Wiki List of duchies
Bar,Lotharingia,Germania,3,7,5,,,Bar,d_bar,867,CK3 Wiki List of duchies
Bavaria,Bavaria,Germania,9,27,7,,,Regensburg,d_bavaria,867,CK3 Wiki List of duchies
Nordgau,Bavaria,Germania,4,13,5,,,Eichstätt,d_nordgau,867,CK3 Wiki List of duchies
Salzburg,Bavaria,Germania,5,17,5,,,Salzburg,d_salzburg,867,CK3 Wiki List of duchies
Augsburg,Bavaria,Germania,5,14,5,,,Augsburg,d_augsburg,867,CK3 Wiki List of duchies
Steyermark,Bavaria,Germania,4,12,5,,,Graz,d_steyermark,867,CK3 Wiki List of duchies
Austria,Bavaria,Germania,6,21,5,University,,Wien,d_osterreich,867,CK3 Wiki List of duchies
Tyrol,Bavaria,Germania,3,8,6,Schwaz Mining Settlement,,Innsbruck,d_tyrol,867,CK3 Wiki List of duchies
Carinthia,Bavaria,Germania,4,13,6,,,Kärnten,d_carinthia,867,CK3 Wiki List of duchies
Krain,Bavaria,Germania,2,7,5,,,Kranj,d_krain,867,CK3 Wiki List of duchies
Istria,Bavaria,Germania,1,4,5,,,Pula,d_istria,867,CK3 Wiki List of duchies
West Franconia,East Francia,Germania,9,33,8,University,,Frankfurt,d_west_franconia,867,CK3 Wiki List of duchies
East Franconia,East Francia,Germania,8,24,5,,,Würzburg,d_east_franconia,867,CK3 Wiki List of duchies
Hesse,East Francia,Germania,4,14,5,,,Kassel,d_hesse,867,CK3 Wiki List of duchies
Currezia,East Francia,Germania,3,10,5,,,Grisons,d_currezia,867,CK3 Wiki List of duchies
Alsace,East Francia,Germania,4,13,5,,,Strassburg,d_alsace,867,CK3 Wiki List of duchies
Swabia,East Francia,Germania,7,23,5,,,Ulm,d_swabia,867,CK3 Wiki List of duchies
Anhalt,East Francia,Germania,6,15,6,University,,Dessau,d_anhalt,867,CK3 Wiki List of duchies
Thüringia,East Francia,Germania,5,14,5,WartburgRammelsberg Mining Settlement,,Schmalkalden,d_thuringia,867,CK3 Wiki List of duchies
Thrace,Thessalonika,Byzantine Empire,3,12,12,Hagia Sophia Cathedral,,Byzantion,d_thrace,867,CK3 Wiki List of duchies
Strymon,Thessalonika,Byzantine Empire,2,10,6,,,Mosynopolis,d_strymon,867,CK3 Wiki List of duchies
Aegean Islands,Thessalonika,Byzantine Empire,5,18,6,,,Naxos,d_aegean_islands,867,CK3 Wiki List of duchies
Thessalonika,Thessalonika,Byzantine Empire,3,13,6,Hagios DemetriosSiderokausia Mining SettlementMount Athos,,Thessalonika,d_thessalonika,867,CK3 Wiki List of duchies
Thessali,Thessalonika,Byzantine Empire,4,15,6,Grand TempleMeteora,,Thessalia,d_thessaly,867,CK3 Wiki List of duchies
Epirus,Epirus,Byzantine Empire,4,15,6,,,Nicopolis,d_epirus,867,CK3 Wiki List of duchies
Dyrrachion,Epirus,Byzantine Empire,5,16,6,,,Dyrrachion,d_dyrrachion,867,CK3 Wiki List of duchies
Cephalonia,Epirus,Byzantine Empire,2,4,6,Kassiopi Castle,,Cephalonia,d_cephalonia,867,CK3 Wiki List of duchies
Athens,Hellas,Byzantine Empire,3,9,10,Temple of the TheotokosHosios Loukas,,Attica,d_athens,867,CK3 Wiki List of duchies
Achaia,Hellas,Byzantine Empire,4,15,6,Patras CastleDespots' Palace,,Achaia,d_achaia,867,CK3 Wiki List of duchies
Krete,Krete,Byzantine Empire,2,6,6,,Candia (Italian),Chandax,d_krete,867,CK3 Wiki List of duchies
Dalmatia,Croatia,Byzantine Empire,3,10,8,,,Zadar,d_dalmatia,867,CK3 Wiki List of duchies
Croatia,Croatia,Byzantine Empire,4,13,5,,,Gacka,d_croatia,867,CK3 Wiki List of duchies
Slavonia,Croatia,Byzantine Empire,4,15,5,,"Pannonia (Roman, Greek)",Zagreb,d_slavonia,867,CK3 Wiki List of duchies
Upper Bosnia,Croatia,Byzantine Empire,4,18,5,Grand CathedralSrebrenica Mining Settlement,,Rama,d_bosna,867,CK3 Wiki List of duchies
Lower Bosnia,Croatia,Byzantine Empire,4,12,5,,,Soli,d_lower_bosna,867,CK3 Wiki List of duchies
Zachlumia,Croatia,Byzantine Empire,4,15,5,,"Zahumlje (Serbian, Croatian, Bosnian)",Zachlumia,d_usora,867,CK3 Wiki List of duchies
Dubrovnik,Croatia,Byzantine Empire,1,2,8,Grand Cathedral,,Ragusa,d_ragusa,867,CK3 Wiki List of duchies
Raška,Serbia,Byzantine Empire,5,21,5,Trepča Mining Settlement,,Raška,d_rashka,867,CK3 Wiki List of duchies
Mačva,Serbia,Byzantine Empire,2,8,6,Rudnik Mining Settlement,,Mačva,d_macva,867,CK3 Wiki List of duchies
Duklja,Serbia,Byzantine Empire,3,12,5,,,Duklja,d_duklja,867,CK3 Wiki List of duchies
Vidin,Bulgaria,Byzantine Empire,2,8,5,,,Vidin,d_vidin,867,CK3 Wiki List of duchies
Moesia,Bulgaria,Byzantine Empire,6,26,6,Grand Temple,,Tarnovgrad,d_turnovo,867,CK3 Wiki List of duchies
Dobrudja,Bulgaria,Byzantine Empire,2,7,6,,Scythia Minor (Greek),Constanta,d_dobrudja,867,CK3 Wiki List of duchies
Bulgaria,Bulgaria,Byzantine Empire,7,28,5,Church of Saint Sophia,,Naissos,d_bulgaria,867,CK3 Wiki List of duchies
Philippopolis,Bulgaria,Byzantine Empire,7,26,5,,,Philippopolis,d_philippopolis,867,CK3 Wiki List of duchies
Cyprus,Cyprus,Byzantine Empire,2,6,7,Church of Saint Lazarus,Kıbrıs (Turkish),Nicosia,d_cyprus,867,CK3 Wiki List of duchies
Opsikion,Nikaea,Byzantine Empire,4,19,7,,,Nikaea,d_opsikion,867,CK3 Wiki List of duchies
Ephesos,Nikaea,Byzantine Empire,2,9,7,Phocaea Mining Settlement,Ephesos (Greek)Efes (Turkish),Ionia,d_ephese,867,CK3 Wiki List of duchies
Thracesia,Nikaea,Byzantine Empire,4,17,6,,Thrakesion (Greek)Trakya (Turkish),Lydia,d_thracesia,867,CK3 Wiki List of duchies
Optimatoi,Nikaea,Byzantine Empire,2,7,7,Maiden's Tower,Optimatoi (Turkish),Bithynia,d_optimatoi,867,CK3 Wiki List of duchies
Bucellaria,Nikaea,Byzantine Empire,3,14,7,,Boukellarion (Greek)Bukellarion (Turkish),Honorias,d_bucellaria,867,CK3 Wiki List of duchies
Cilicia,Anatolia,Byzantine Empire,4,17,7,,Kilikia (Greek)Kilikya (Turkish),Cilicia,d_cilicia,867,CK3 Wiki List of duchies
Cibyrrhaeot,Anatolia,Byzantine Empire,3,15,7,,Kibyrrhaiotai (Greek)Kibirreoton (Turkish),Lycia,d_cibyrrhaeot,867,CK3 Wiki List of duchies
Anatolia,Anatolia,Byzantine Empire,7,29,6,,Anatolikon (Greek)Anadolu (Turkish),Lycaonia,d_anatolia,867,CK3 Wiki List of duchies
Cappadocia,Anatolia,Byzantine Empire,2,8,6,Cilician Gates,Kappadokia (Greek)Kapadokya (Turkish),Cappadocia,d_cappadocia,867,CK3 Wiki List of duchies
Charsianon,Anatolia,Byzantine Empire,3,12,6,Troglodytic Settlements,Rum (Turkish),Charsianon,d_charsianon,867,CK3 Wiki List of duchies
Paphlagonia,Pontus,Byzantine Empire,2,8,6,,Paflagonya (Turkish),Paphlagonia,d_paphlagonia,867,CK3 Wiki List of duchies
Armeniac,Pontus,Byzantine Empire,4,14,6,,,Helenopontus,d_armeniac,867,CK3 Wiki List of duchies
Sebasteia,Pontus,Byzantine Empire,3,12,6,,Sivas (Turkish),Sebasteia,d_sebasteia,867,CK3 Wiki List of duchies
Chaldia,Pontus,Byzantine Empire,4,18,6,Sumela MonasteryGrand Cathedral,Khaldia (Greek),Trebizond,d_chaldia,867,CK3 Wiki List of duchies
Mesopotamia,Armenia,Byzantine Empire,3,11,5,,,Theodosiopolis,d_mesopotamia,867,CK3 Wiki List of duchies
Vaspurakan,Armenia,Byzantine Empire,3,13,5,,Vasburagan (Turkish),Vaspurakan,d_vaspurakan,867,CK3 Wiki List of duchies
Greater Armenia,Armenia,Byzantine Empire,6,24,5,Great Fire TempleCathedral of VagarshapatGrand Cathedral,Mets Hayk' (Armenian),Hayk,d_greater_armenia,867,CK3 Wiki List of duchies
Tao-Klarjeti,Georgia,Byzantine Empire,4,12,5,,,Tao,d_tao-klarjeti,867,CK3 Wiki List of duchies
Abkhazia,Georgia,Byzantine Empire,4,16,5,,,Abkhazia,d_abkhazia,867,CK3 Wiki List of duchies
Georgia,Georgia,Byzantine Empire,4,16,6,Jvari Monastery,,Tbilisi,d_georgia,867,CK3 Wiki List of duchies
Sicily,Sicily,Byzantine Empire,5,14,8,University,"Siqilliya (Bedouin, Levantine, Egyptian, Maghrebi, Andalusian, Yemeni)",Palermo,d_sicily,867,CK3 Wiki List of duchies
Benevento,Sicily,Byzantine Empire,2,8,5,,,Benevento,d_benevento,867,CK3 Wiki List of duchies
Capua,Sicily,Byzantine Empire,2,6,10,University,,Capua,d_capua,867,CK3 Wiki List of duchies
Apulia,Sicily,Byzantine Empire,3,10,8,,,Apulia,d_apulia,867,CK3 Wiki List of duchies
Salerno,Sicily,Byzantine Empire,2,6,10,,,Salerno,d_salerno,867,CK3 Wiki List of duchies
Calabria,Sicily,Byzantine Empire,3,9,5,Cattolica di Stilo,,Reggio Calabria,d_calabria,867,CK3 Wiki List of duchies
Venice,Venice,Byzantine Empire,2,4,9,Doge's Palace,,Venezia,d_venice,867,CK3 Wiki List of duchies
Friuli,Italy,Italia,3,9,5,,,Aquileia,d_friuli,867,CK3 Wiki List of duchies
Verona,Italy,Italia,4,12,5,University,,Verona,d_verona,867,CK3 Wiki List of duchies
Piedmonte,Italy,Italia,4,12,5,University,,Monferrato,d_piedmonte,867,CK3 Wiki List of duchies
Lombardy,Italy,Italia,8,25,8,University,,Lombardia,d_lombardia,867,CK3 Wiki List of duchies
Genoa,Italy,Italia,2,5,7,Walls of Genoa,,Genoa,d_genoa,867,CK3 Wiki List of duchies
Emilia,Italy,Italia,2,7,5,,,Modena,d_emilia,867,CK3 Wiki List of duchies
Pisa,Italy,Italia,1,3,8,University,,Pisa,d_pisa,867,CK3 Wiki List of duchies
Tuscany,Italy,Italia,5,17,8,Santa ReparataThe University of Siena,,Firenze,d_toscana,867,CK3 Wiki List of duchies
Corsica,Sardinia,Italia,3,6,4,,,Ajaccio,d_corsica,867,CK3 Wiki List of duchies
Sardinia,Sardinia,Italia,5,13,4,Argentiera Mining Settlement,,Cagliari,d_sardinia,867,CK3 Wiki List of duchies
Romagna,Romagna,Italia,4,13,7,Sant'Apollinare NuovoUniversityUniversity,,Ravenna,d_romagna,867,CK3 Wiki List of duchies
Ancona,Romagna,Italia,3,10,7,,,Ancona,d_ancona,867,CK3 Wiki List of duchies
Spoleto,Romagna,Italia,5,12,7,University,,Spoleto,d_spoleto,867,CK3 Wiki List of duchies
Latium,Romagna,Italia,3,13,15,The ColosseumGrand Cathedral,,Roma,d_latium,867,CK3 Wiki List of duchies
Uppland,Sweden,Scandinavia,4,14,2,Temple of UppsalaUniversity,,Uppland,d_svealand,867,CK3 Wiki List of duchies
Bergslagen,Sweden,Scandinavia,4,16,2,Falun Mining Settlement,,Västmannaland,d_bergslagen,867,CK3 Wiki List of duchies
Västergötland,Sweden,Scandinavia,4,13,2,,,Västergötland,d_vastergotland,867,CK3 Wiki List of duchies
Östergötland,Sweden,Scandinavia,3,10,2,,,Östergötland,d_ostergotland,867,CK3 Wiki List of duchies
Småland,Sweden,Scandinavia,6,19,2,,,Möre,d_smaland,867,CK3 Wiki List of duchies
Norrland,Sweden,Scandinavia,3,12,2,,,Halsingland,d_norrland,867,CK3 Wiki List of duchies
Visby,Sweden,Scandinavia,1,4,3,Visby Ringmur,,Gotland,d_gotland,867,CK3 Wiki List of duchies
Åarjetje,Sápmi,Scandinavia,4,12,0,,"Lapland (English, Scottish, Anglo-Saxon)Lappland (Norwegian, Swedish, Norse)",Sjeltie,d_aarjetje,867,CK3 Wiki List of duchies
Vuovdisámieana,Sápmi,Scandinavia,4,12,0,,"Västerbotten (Norwegian, Swedish, Norse)",Biton,d_vuovdisamieana,867,CK3 Wiki List of duchies
Duortnoseatnu,Sápmi,Scandinavia,5,13,0,,"Finnmörk (Norse, Norwegian, Swedish)Ruija (Finnish)",Siggevara,d_duortnoseatnu,867,CK3 Wiki List of duchies
Giemajohka,Sápmi,Scandinavia,7,22,0,Grand Temple,"Leporie (Swedish, Norwegian, Norse, Russian)",Peäccam,d_giemajohka,867,CK3 Wiki List of duchies
Guoládat,Sápmi,Scandinavia,4,13,0,,"Kola (Norwegian, Swedish, Norse, Russian)Kuola (Finnish)",Ter,d_guoldat,867,CK3 Wiki List of duchies
Sjælland,Denmark,Scandinavia,3,10,3,,,Sjælland,d_sjaelland,867,CK3 Wiki List of duchies
Skåne,Denmark,Scandinavia,4,13,4,Lund Cathedral,,Skåne,d_skane,867,CK3 Wiki List of duchies
Jylland,Denmark,Scandinavia,4,12,2,,,Aarhus,d_jylland,867,CK3 Wiki List of duchies
Slesvig,Denmark,Scandinavia,3,9,2,DanevirkeDanevirke,,Slesvig,d_slesvig,867,CK3 Wiki List of duchies
Víkin,Norway,Scandinavia,4,15,2,Heddal Stave Church,,Vingulmörk,d_viken,867,CK3 Wiki List of duchies
Egðafylki,Norway,Scandinavia,2,6,2,,,Austr Agðir,d_agder,867,CK3 Wiki List of duchies
Gulaþingslög,Norway,Scandinavia,3,13,2,,,Rogaland,d_vestlandi,867,CK3 Wiki List of duchies
Þrændalög,Norway,Scandinavia,3,9,2,Grand Temple,,Þrándheimr,d_trandalog,867,CK3 Wiki List of duchies
Upplönd,Norway,Scandinavia,4,11,2,,,Heiðmörk,d_dalir,867,CK3 Wiki List of duchies
Hálogaland,Norway,Scandinavia,3,11,2,,,Lófótr,d_halogaland,867,CK3 Wiki List of duchies
Iceland,Norway,Scandinavia,4,9,0,,"Ísland (Norse, Norwegian)",Vestrland,d_iceland,867,CK3 Wiki List of duchies
Northern Isles,Norway,Scandinavia,3,3,2,,Norðreyjar (Norse),Orkney,d_northern_isles,867,CK3 Wiki List of duchies
Jamtaland,Norway,Scandinavia,4,15,2,,Jämtland (Swedish),Jamtaland,d_jamtland,867,CK3 Wiki List of duchies
Finland,Finland,Scandinavia,5,16,1,,,Finland,d_finland,867,CK3 Wiki List of duchies
Savo,Finland,Scandinavia,3,10,1,,,Savo,d_savo,867,CK3 Wiki List of duchies
Pohjanmaa,Finland,Scandinavia,4,11,1,,,Oulu,d_pohjanmaa,867,CK3 Wiki List of duchies
Karelia,Finland,Scandinavia,7,22,1,Grand Temple,,Kakisalmi,d_karelia,867,CK3 Wiki List of duchies
Pomerania,Pomerania,Baltic Empire,6,19,2,,,Szczecin,d_pommerania,867,CK3 Wiki List of duchies
Veletia,Pomerania,Baltic Empire,5,13,2,Grand TempleUniversity,Veletia (Polabian),Mecklenburg,d_nordmark,867,CK3 Wiki List of duchies
Pomerelia,Pomerania,Baltic Empire,4,14,2,,,Gdańsk,d_pomerelia,867,CK3 Wiki List of duchies
Nordmark,Pomerania,Baltic Empire,5,16,2,,Luticia (Polabian),Brandenburg,d_ostmark,867,CK3 Wiki List of duchies
Lithuania,Lithuania,Baltic Empire,4,15,2,Grand Temple,,Kernave,d_lithuanians,867,CK3 Wiki List of duchies
Prussia,Lithuania,Baltic Empire,5,16,2,,,Pomesania,d_prussia,867,CK3 Wiki List of duchies
Masuria,Lithuania,Baltic Empire,4,12,2,Grand Temple,,Chełmno,d_masuria,867,CK3 Wiki List of duchies
Courland,Lithuania,Baltic Empire,4,14,2,Grand Temple,"Curonia (Prussian, Lithuanian, Latgalian, Estonian)Kurland (Franconian, Saxon, Swabian, Bavarian, Swedish, Norse, Danish, Norwegian)",Semigallia,d_courland,867,CK3 Wiki List of duchies
Samogitia,Lithuania,Baltic Empire,5,14,2,,,Raseiniai,d_samogitia,867,CK3 Wiki List of duchies
Latgalia,Lithuania,Baltic Empire,4,12,2,,,Talava,d_latgalians,867,CK3 Wiki List of duchies
Estonia,Estonia,Baltic Empire,4,12,2,Grand Temple,,Rävala,d_esthonia,867,CK3 Wiki List of duchies
Livonia,Estonia,Baltic Empire,3,9,2,,,Metsepole,d_livonia,867,CK3 Wiki List of duchies
Vistulania,Poland,West-Slavia,7,29,2,University,,Kraków,d_lesser_poland,867,CK3 Wiki List of duchies
Polania,Poland,West-Slavia,6,22,2,,"Großpolen (Franconian, Saxon, Swabian, Bavarian)",Poznań,d_wielkopolska,867,CK3 Wiki List of duchies
Mazovia,Poland,West-Slavia,5,20,2,Grand Temple,,Płock,d_mazovia,867,CK3 Wiki List of duchies
Opolania,Poland,West-Slavia,6,15,3,,,Opole,d_upper_silesia,867,CK3 Wiki List of duchies
Silesia,Poland,West-Slavia,7,19,3,,,Breslau,d_lower_silesia,867,CK3 Wiki List of duchies
Kuyavia,Poland,West-Slavia,5,16,2,Collegiate Church of St Mary and St Alexius,,Kujawy,d_kuyavia,867,CK3 Wiki List of duchies
Bohemia,Bohemia,West-Slavia,8,35,3,UniversityKutná Hora Mining Settlement,,Praha,d_bohemia,867,CK3 Wiki List of duchies
Moravia,Great Moravia,West-Slavia,6,18,5,,,Olomouc,d_moravia,867,CK3 Wiki List of duchies
Volhynia,Galicia-Volhynia,West-Slavia,4,15,2,,Wołyń (Polish),Volodymyr,d_volhynia,867,CK3 Wiki List of duchies
Halych,Galicia-Volhynia,West-Slavia,4,15,2,,"Halicz (Polish)Halytsch (Franconian, Saxon, Swabian, Bavarian)Halici (Vlach)",Halych,d_halych,867,CK3 Wiki List of duchies
Cherven Cities,Galicia-Volhynia,West-Slavia,3,10,2,,,Cherven,d_cherven_cities,867,CK3 Wiki List of duchies
Meissen,Sorbia,West-Slavia,8,25,4,,Milcenia (Polabian),Meissen,d_meissen,867,CK3 Wiki List of duchies
Lausitz,Sorbia,West-Slavia,5,11,4,,Lusatia (Polabian),Jüterbog,d_lausitz,867,CK3 Wiki List of duchies
Kyiv,Ruthenia,Russia,6,22,2,Golden Gate of Kyiv,"Könugarðr (Norse)Könugård (Swedish)Kønugård (Norwegian, Danish)Kijów (Polish)Kijevas (Lithuanian)",Kyiv,d_kiev,867,CK3 Wiki List of duchies
Turov,Ruthenia,Russia,3,11,2,,Turów (Polish)Turava (Lithuanian),Turov,d_turov,867,CK3 Wiki List of duchies
Pereyaslavl,Ruthenia,Russia,4,14,2,,,Pereyaslavl,d_pereyaslavl,867,CK3 Wiki List of duchies
Chernigov,Ruthenia,Russia,5,19,2,,,Chernigov,d_chernigov,867,CK3 Wiki List of duchies
Karachev,Ruthenia,Russia,3,9,2,,,Karachev,d_karachev,867,CK3 Wiki List of duchies
Novosil,Ruthenia,Russia,2,4,2,,,Novosil,d_novosil,867,CK3 Wiki List of duchies
Novgorod,Novgorod,Russia,5,21,0,Holy Wisdom of GodGrand Temple,"Holmgarðr (Norse, Swedish, Danish, Norwegian)Naugardas (Lithuanian)",Novgorod,d_novgorod,867,CK3 Wiki List of duchies
Vepsia,Novgorod,Russia,3,10,0,,,Beloozero,d_vepsia,867,CK3 Wiki List of duchies
Luki,Novgorod,Russia,3,9,0,,,Luki,d_luki,867,CK3 Wiki List of duchies
Grodno,White Rus',Russia,3,7,2,,Hrodna (Russian)Gardinas (Lithuanian),Grodno,d_grodno,867,CK3 Wiki List of duchies
Pinsk,White Rus',Russia,4,12,2,,Pinskas (Lithuanian)Pińsk (Polish),Pinsk,d_pinsk,867,CK3 Wiki List of duchies
Minsk,White Rus',Russia,2,7,2,,Minskas (Lithuanian)Mińsk (Polish),Minsk,d_minsk,867,CK3 Wiki List of duchies
Polotsk,White Rus',Russia,3,8,2,,"Polockas (Lithuanian)Połock (Polish)Pallteskja (Swedish, Norse, Danish, Norwegian)",Polotsk,d_polotsk,867,CK3 Wiki List of duchies
Smolensk,White Rus',Russia,5,17,2,,,Smolensk,d_smolensk,867,CK3 Wiki List of duchies
Opolye,Vladimir,Russia,5,23,3,,Vladimir (1178),Yaroslavl,d_opolye,867,CK3 Wiki List of duchies
Ryazan,Vladimir,Russia,3,12,1,,,Ryazan,d_ryazan,867,CK3 Wiki List of duchies
Obran Osh,Vladimir,Russia,3,11,1,,Nizhny Novgorod (Russian),Obran Osh,d_nizhny_novgorod,867,CK3 Wiki List of duchies
Biarmia,Bjarmaland,Russia,4,16,1,,,Kholmogory,d_biarmia,867,CK3 Wiki List of duchies
Chudia,Bjarmaland,Russia,3,10,0,,,Kargopol,d_chudia,867,CK3 Wiki List of duchies
Vologda,Bjarmaland,Russia,4,14,0,,,Vologda,d_vologda,867,CK3 Wiki List of duchies
Ustyug,Bjarmaland,Russia,4,14,0,,,Ustyug,d_ustyug,867,CK3 Wiki List of duchies
Karayedisan,Zaporizhia,Khazaria,4,12,0,,"Jedisan (Franconian, Saxon, Swabian, Bavarian)Jedysan (Polish)Edisan (Vlach)Borysthenes (Greek)",Cherkassy,d_yedisan,867,CK3 Wiki List of duchies
Kizilyedisan,Zaporizhia,Khazaria,3,9,0,Grand Temple,"South Jedisan (Franconian, Saxon, Swabian, Bavarian)South Jedysan (Polish)South Edisan (Vlach)South Borysthenes (Greek)",Kara-Kerman,d_kizilyedisan,867,CK3 Wiki List of duchies
Levedia,Zaporizhia,Khazaria,3,9,0,,Scythia (Greek),Samar,d_levedia,867,CK3 Wiki List of duchies
Red Levedia,Zaporizhia,Khazaria,2,7,0,,South Scythia (Greek),Yilki Su,d_red_levedia,867,CK3 Wiki List of duchies
Don Valley,Zaporizhia,Khazaria,4,12,0,Grand Temple,,Sarysyn,d_don_valley,867,CK3 Wiki List of duchies
Tana,Zaporizhia,Khazaria,2,4,0,,Tanais (Greek),Tana,d_tana,867,CK3 Wiki List of duchies
Crimea,Zaporizhia,Khazaria,3,8,2,Grand Temple,,Kerch,d_crimea,867,CK3 Wiki List of duchies
Khazaria,Caucasus,Khazaria,3,9,3,,,Sarkel,d_khazaria,867,CK3 Wiki List of duchies
Azov,Caucasus,Khazaria,3,11,0,,,Tmutarakan,d_azov,867,CK3 Wiki List of duchies
Alania,Caucasus,Khazaria,4,11,0,,,Maghas,d_alania,867,CK3 Wiki List of duchies
Ciscaucasia,Caucasus,Khazaria,4,12,2,,,Derbent,d_ciscaucasia,867,CK3 Wiki List of duchies
Itil,Caspian Steppe,Khazaria,4,12,3,Grand Temple,,Itil,d_itil,867,CK3 Wiki List of duchies
Pecheneg,Caspian Steppe,Khazaria,4,11,0,,,Pecheneg,d_pecheneg,867,CK3 Wiki List of duchies
